"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0051125",39.2436888730555,1.28967495639285,0.365459406423646,3.52891438481089,0.000417268101152386,0.00540626125634635
"FBgn0039257",841.703273747529,-1.07868965297316,0.119256600885202,-9.04511486128574,1.49507905376308e-19,1.89149486757702e-17
"FBgn0051092",230.574621771462,2.24097939048395,0.181909509246937,12.3191987035812,7.14001997934088e-35,2.36252276470268e-32
"FBgn0002609",62.3327742779074,-1.51584685710099,0.315992641087669,-4.79709543830936,1.60982910771071e-06,4.01430719235804e-05
"FBgn0039419",2681.64820004943,-1.1644116769033,0.0943272774506269,-12.3443791485743,5.22356301878022e-35,1.79753250602265e-32
"FBgn0026562",65114.8405637953,-2.47015652237628,0.0874233622026831,-28.255107789717,1.23185219430875e-175,3.53254147587941e-172
"FBgn0039464",1233.51291620627,1.05464036478384,0.109401578748543,9.64008359703759,5.4143864913081e-22,7.89490965842773e-20
"FBgn0039479",253.814343944181,1.47057679600044,0.164618981848317,8.93321523125112,4.13803542059248e-19,5.08564553190816e-17
"FBgn0039485",86.6891794029857,1.42821774530594,0.257455207931803,5.54744165705229,2.89879842573583e-08,9.55492829754993e-07
"FBgn0046258",12.7021706922872,2.09242785116402,0.690876517172918,3.02865678475552,0.00245643578144355,0.0235330924585288
"FBgn0053346",17.6315068184737,1.61095308686495,0.584766638790476,2.75486489823878,0.00587163752624305,0.0471649837892334
"FBgn0039593",63.8120696049177,1.88952044485167,0.327488976150763,5.76972228824523,7.94022762836049e-09,2.7655780682909e-07
"FBgn0265274",69.1669597322632,1.31751337985375,0.304600730484022,4.32537826734747,1.52270339974738e-05,0.000304646915070388
"FBgn0039640",107.433794690023,-1.74023769681585,0.254976075925976,-6.82510188650433,8.7862934549954e-12,4.87667629634358e-10
"FBgn0002773",59.5943370428752,-1.06147962589624,0.323470432870046,-3.2815352441275,0.00103243620984657,0.0114312081252381
"FBgn0039759",22.6184494427885,1.75809947761303,0.512919500074192,3.42763236211282,0.000608869402151555,0.00734656867701239
"FBgn0039788",25.7407515915497,1.81241530344046,0.487794652174211,3.71552926085212,0.000202778796142914,0.00287398020299421
"FBgn0024288",86.5827933670693,-4.60963293574139,0.400537339545301,-11.5086222447434,1.19370187272165e-30,3.3127152293627e-28
"FBgn0039827",390.901782011095,-4.10760517480721,0.196997441528999,-20.8510584854603,1.49087899110029e-96,1.83229028006226e-93
"FBgn0029002",2264.09617997135,1.4279740780286,0.367566712071755,3.88493851899691,0.000102355787243205,0.00159234509521391
"FBgn0016715",202.183710806775,-2.26859628684903,0.202365075828869,-11.2104140378821,3.62493731025931e-29,8.66259324448913e-27
"FBgn0265706",41.5987989927696,-1.4043379406837,0.430167469175742,-3.26463073410595,0.00109606868132664,0.0120120749878383
"FBgn0263042",63.2504631869731,-1.43909420076116,0.319759221198423,-4.50055574743895,6.77760260047389e-06,0.000147756661789651
"FBgn0035147",28915.9028793075,-1.18896207590108,0.110975830661073,-10.7137028740271,8.77790671286667e-27,1.79800789168552e-24
"FBgn0264475",955.454453674265,-2.52784529714773,0.135516578304718,-18.6534026225463,1.18490655440802e-77,1.27421888594653e-74
"FBgn0063667",19.1507594687134,2.75484591291082,0.580704569572968,4.74397147406063,2.09568373040101e-06,5.09298506571748e-05
"FBgn0035189",307.044836616,2.89221196717779,0.210197863066751,13.7594736929334,4.46767407101699e-43,2.56236000219728e-40
"FBgn0020248",52.4733609427989,1.98487972500369,0.327156659975281,6.06706195482513,1.30271314621944e-09,5.07114986286239e-08
"FBgn0052313",21.1464322014665,-1.60960524319022,0.544224560300731,-2.95761228104217,0.00310031813772391,0.0283142642662832
"FBgn0035267",54.1392889817026,1.05710181071351,0.33451044801873,3.16014586980651,0.00157690169284299,0.0161868554803448
"FBgn0035344",114.250751414324,-1.65319041260921,0.233243416556215,-7.08783311880005,1.36228099157085e-12,8.6174289488853e-11
"FBgn0259224",446.690497767689,1.10040886217807,0.183763282228941,5.98818680658483,2.12193267720304e-09,8.04184441496818e-08
"FBgn0035523",70.9981974167003,1.59319974952447,0.356421223391576,4.46999124901755,7.8222797633618e-06,0.000168362156929127
"FBgn0035539",31.1329608840348,1.9145771121068,0.495298583826968,3.86550088093056,0.000110861448845371,0.0017122819468882
"FBgn0262733",551.049205466041,2.07637338262602,0.161449638989922,12.8608115547141,7.47873209724138e-38,2.79737096663337e-35
"FBgn0262870",44.4284376479661,-1.58976382395067,0.370643857416777,-4.28919511854484,1.79321786162546e-05,0.000347456154584771
"FBgn0052407",285.534784670639,-2.10536731598093,0.169407798745149,-12.4278063440761,1.84631591715745e-35,6.61827326471065e-33
"FBgn0035710",26.1617709383304,2.19247176625192,0.50491672233702,4.34224431328795,1.41034573727285e-05,0.000285487161829607
"FBgn0035727",100.156222319451,1.63762127427344,0.244447605007914,6.69927313961788,2.09458764083864e-11,1.05998455730205e-09
"FBgn0259935",80.3344615822814,1.06866475690893,0.266690552065332,4.00713391844167,6.14600183605102e-05,0.00100904682815929
"FBgn0035932",43.8307913115621,1.43587888359064,0.38898407269737,3.69135649599658,0.000223061236045,0.00312540034803768
"FBgn0035957",20.201682362524,1.58985937475833,0.554638397029794,2.86647910291167,0.00415065561077459,0.0363626173314601
"FBgn0000116",957.325638200019,1.17260570419566,0.146059492448603,8.02827453757095,9.8853075569e-16,9.34541768263854e-14
"FBgn0023479",4584.75321807884,-1.54292832566153,0.119476861439243,-12.9140346262456,3.75119132796221e-38,1.46688631792995e-35
"FBgn0040827",316.742381220904,-1.94741277958913,0.171599667855848,-11.3485812876109,7.53757689805634e-30,1.96502345618117e-27
"FBgn0035968",428.338531528475,1.07518710892659,0.144666082153088,7.43219898489275,1.06806961254881e-13,7.99008945804994e-12
"FBgn0035969",18.4920232024092,1.990608981596,0.571126081379821,3.48541074640955,0.000491382121518123,0.00619847564724401
"FBgn0001225",607.720282537841,1.31840633046945,0.136006783897218,9.69368065835441,3.20756300150737e-22,4.75770077620136e-20
"FBgn0001224",866.042882593671,1.45619445095573,0.134504079399589,10.8263961766514,2.58114975792492e-27,5.55140784185702e-25
"FBgn0001226",1764.7869878867,1.67697129060252,0.127027027951758,13.201688787361,8.57899274943565e-40,3.69025373116975e-37
"FBgn0036181",50.0335751765566,-1.02858423947425,0.370410720097662,-2.77687492198675,0.00548842951762036,0.0448469176881505
"FBgn0036287",24.4442871574712,1.48069176759798,0.519282946061901,2.85141612838846,0.0043524967044111,0.0375949087831814
"FBgn0036373",5491.27541337799,-1.05810242249835,0.140876958744072,-7.51082669537593,5.87551326048126e-14,4.55378743963246e-12
"FBgn0029167",5430.06727658048,-2.19567714456432,0.0967233236924463,-22.7005965132668,4.41958495468144e-114,7.60433787302488e-111
"FBgn0263232",437.725089776099,1.31424298459652,0.148556892906653,8.84673177314183,9.01196505051106e-19,1.04770182877766e-16
"FBgn0087007",195.996762874124,1.03125633659003,0.209351583022509,4.92595432860498,8.39496060248534e-07,2.24291447401184e-05
"FBgn0264702",106.97701928319,1.04783627073391,0.265575080359694,3.9455368678218,7.96213793511678e-05,0.00127320209397416
"FBgn0004396",3535.47792517561,1.11107018941135,0.152815606567563,7.27065915823278,3.57737539287536e-13,2.48000942109773e-11
"FBgn0036560",27.7142410668605,2.17735694858071,0.468079562886014,4.65168129784581,3.2923963809942e-06,7.63463236272052e-05
